# IPTS  RUN   ratio  angle_at_max intensity
16529 62601 2.2009858798774986 59.5646 1601615.0
20354 78824 1.9491215363522159 52.6425 1045177.0
14414 52146 3.047241243692881 26.213 6082016.0
19386 76431 2.028891110626518 33.1349 1082236.0
16427 60155 2.8034329467664905 32.7829 1029145.0
14179 51963 1.9340100448419648 79.5288 2976453.0
13376 48916 2.8853754152956346 18.8994 2508755.0
19355 75697 3.2364056354653736 15.51 982705.0
19355 75703 3.1398070402916956 15.51 997203.0
14414 52119 2.438129934357785 25.7462 49065529.0
15173 56677 2.88049461715072 111.665 16202107.0
16427 60098 3.2435846082618487 27.4996 1153398.0
13326 53161 2.6858296911943826 25.7462 669936.0
19386 72726 1.8179731934326482 26.0962 33143893.0
14414 52134 2.5990579053268954 26.0962 6302339.0
16529 62557 1.9784302335066837 154.981 10113415.0
19355 75717 2.85201532507792 15.51 1189684.0
10999 39891 2.924588290939083 17.0326 20136064.0
13326 53308 2.8448050864627152 26.213 335636.0
10764 33304 1.9152479252521815 136.329 50986799.0
15382 56207 2.386111632324759 31.0212 10568283.0
16427 60235 2.5969630238748973 33.7211 1291482.0
10764 33302 2.068757818387459 136.329 63376240.0
13326 53417 2.6598570826609134 26.213 571939.0
19386 76577 2.009235729006004 102.851 1681838.0
15382 56299 2.4590860948992423 31.0212 12025997.0
20354 78484 1.7677657105897142 26.0962 1420841.0
13326 53409 2.623611005764563 25.8628 632832.0
14179 51928 3.6715258081578726 25.7462 918818.0
20354 78605 1.7073518699435375 25.9795 1754438.0
10764 33274 2.6682633121350867 105.999 13366357.0
19355 75722 2.861108549294476 15.3927 1181887.0
13376 48999 2.4285724826245922 18.6666 3794875.0
16529 62578 2.36618689105403 25.7462 1987040.0
15382 56335 2.4785453015522325 31.0212 4805917.0
16427 60237 2.5254434882045875 31.1387 1346710.0
15382 56272 2.4610360316116813 27.3824 11708330.0
